Participant,Intensity,Condition,sleeplatency
1,1,LM,20.5
1,1,HM,19
2,3,HM,10
2,3,LM,7
3,4,HM,30.5
3,4,LM,21.5
4,3,LM,12.5
4,3,HM,18
5,2,LM,8
5,2,HM,14
6,3,HM,14
6,3,LM,12
7,4,HM,22
7,4,LM,38.5
8,3,HM,17
8,3,LM,24.5
9,1,HM,9.5
9,1,LM,6.5
10,2,LM,10
10,2,HM,10.5
11,3,HM,16
11,3,LM,15.5
12,4,HM,8
12,4,LM,7.5
13,3,HM,16.5
13,3,LM,12
14,3,HM,7
14,3,LM,7.5
15,1,HM,6.5
15,1,LM,10.5
16,2,HM,6
16,2,LM,8
17,1,LM,12.5
17,1,HM,23
18,4,LM,18.5
18,4,HM,16.5
19,3,LM,11.5
19,3,HM,8
20,2,HM,6
20,2,LM,7.5
21,1,HM,15.5
21,1,LM,12
22,2,LM,14
22,2,HM,13
23,4,LM,6.5
23,4,HM,9
24,2,LM,16
24,2,HM,9.5
25,3,LM,11
25,3,HM,10
26,1,HM,5.5
26,1,LM,5.5
27,3,HM,12
27,3,LM,6
28,1,LM,9
28,1,HM,11
29,2,HM,4
29,2,LM,6
30,4,HM,12.5
30,4,LM,17
31,2,HM,5
31,2,LM,5
32,1,LM,10.5
32,1,HM,9
33,3,LM,12
33,3,HM,20.5
34,4,LM,7.5
34,4,HM,11.5
35,1,LM,6.5
35,1,HM,4.5
36,3,LM,17.5
36,3,HM,21.5
37,3,LM,8.5
37,3,HM,12
38,1,LM,10.5
38,1,HM,7
39,4,HM,17
39,4,LM,9.5
40,4,HM,16.5
40,4,LM,9.5
41,1,LM,7
41,1,HM,6.5
42,4,LM,7
42,4,HM,14.5
43,2,HM,10
43,2,LM,6.5
44,4,LM,8
44,4,HM,14.5
45,1,HM,8.5
45,1,LM,7.5
46,1,HM,12
46,1,LM,18.5
47,4,LM,10.5
47,4,HM,16
48,3,HM,27
48,3,LM,10.5
49,3,LM,8
49,3,HM,6.5
50,2,LM,10
50,2,HM,30.5
51,1,HM,11
51,1,LM,7.5
52,1,HM,12.5
52,1,LM,5
53,1,HM,11
53,1,LM,6.5
54,3,LM,13
54,3,HM,11
55,1,LM,10
55,1,HM,25
56,2,LM,18
56,2,HM,10.5
57,4,LM,4.5
57,4,HM,8.5
58,1,HM,19
59,2,LM,10
59,2,HM,11.5
60,2,HM,11.5
60,2,LM,13
61,4,LM,16
61,4,HM,14
62,4,HM,6
62,4,LM,8.5
63,2,HM,29
63,2,LM,7.5
64,4,LM,5.5
64,4,HM,11.5
65,3,LM,10.5
65,3,HM,20.5
66,2,HM,9
66,2,LM,11
67,4,HM,9
67,4,LM,11
68,3,HM,5.5
68,3,LM,6
69,4,LM,8.5
69,4,HM,17
70,2,LM,10.5
70,2,HM,14.5
71,2,HM,28
71,2,LM,13
72,2,LM,19
72,2,HM,21.5
